;Year;Subgroup;Penalty;Old Quality;New Quality
58;5;EURef2016=='Remain' AND Posind=='Somewhat negative effect';0.911934819;0.080650092;0.073547627
59;5;EURef2016=='Remain' AND work_stat=='Working full time (30 or more hours per week)';0.918442236;0.079865375;0.073351734
60;6;EURef2016=='Remain';0.943479397;0.155515007;0.146725205
61;6;Poscountry=='Very negative effect';0.899477581;0.125862918;0.113210873
62;6;EURef2016=='Remain' AND Poscountry=='Very negative effect';0.917438966;0.10724774;0.098393256
63;6;EURef2016=='Remain' AND Govthand=='Very badly';0.814723852;0.09213492;0.075064517
64;6;Govthand=='Very badly' AND Poscountry=='Very negative effect';0.801790949;0.09111029;0.073051406
65;6;EURef2016=='Remain' AND sex=='Woman';0.945103847;0.089419028;0.084510268
66;6;Posind=='Somewhat negative effect';0.938272557;0.087895461;0.082469899
67;6;EURef2016=='Remain' AND Posind=='Somewhat negative effect';0.911934819;0.082546961;0.075277448
68;6;EURef2016=='Remain' AND Govthand=='Very badly' AND Poscountry=='Very negative effect';0.813411287;0.076306479;0.062068551
69;6;EURef2016=='Remain' AND work_stat=='Working full time (30 or more hours per week)';0.918442236;0.072945813;0.066996516
70;7;EURef2016=='Remain';0.943479397;0.159348701;0.150342216
71;7;Poscountry=='Very negative effect';0.899477581;0.141330152;0.127123303
72;7;EURef2016=='Remain' AND Govthand=='Very badly';0.814723852;0.128214138;0.104459116
73;7;Govthand=='Very badly' AND Poscountry=='Very negative effect';0.801790949;0.121170558;0.097153457
74;7;EURef2016=='Remain' AND Poscountry=='Very negative effect';0.917438966;0.12015532;0.110235173
75;7;EURef2016=='Remain' AND Govthand=='Very badly' AND Poscountry=='Very negative effect';0.813411287;0.103931639;0.084539168
76;7;Posind=='Somewhat negative effect';0.938272557;0.09983564;0.093673041
77;7;EURef2016=='Remain' AND sex=='Woman';0.945103847;0.095221395;0.089994107
78;7;EURef2016=='Remain' AND Posind=='Somewhat negative effect';0.911934819;0.090890015;0.08288577
79;7;EURef2016=='Remain' AND work_stat=='Working full time (30 or more hours per week)';0.918442236;0.080019735;0.073493504
80;8;EURef2016=='Remain';0.943479397;0.150040383;0.14156001
81;8;Poscountry=='Very negative effect';0.899477581;0.149433018;0.13441165
82;8;EURef2016=='Remain' AND Govthand=='Very badly';0.814723852;0.143008766;0.116512653
83;8;Govthand=='Very badly' AND Poscountry=='Very negative effect';0.801790949;0.14057473;0.112711546
84;8;EURef2016=='Remain' AND Poscountry=='Very negative effect';0.917438966;0.126745362;0.116281134
85;8;EURef2016=='Remain' AND Govthand=='Very badly' AND Poscountry=='Very negative effect';0.813411287;0.120165453;0.097743936
86;8;Posind=='Somewhat negative effect';0.938272557;0.095222308;0.089344478
87;8;EURef2016=='Remain' AND sex=='Woman';0.945103847;0.093861079;0.088708467
88;8;Poscountry=='Very negative effect' AND sex=='Woman';0.861040325;0.089448149;0.077018463
89;8;EURef2016=='Remain' AND Govthand=='Very badly' AND sex=='Woman';0.77235791;0.086837092;0.067069315
90;9;EURef2016=='Remain';0.943479397;0.158188669;0.14924775
91;9;Poscountry=='Very negative effect';0.899477581;0.121648563;0.109420155
92;9;EURef2016=='Remain' AND Poscountry=='Very negative effect';0.917438966;0.108319026;0.099376095
93;9;EURef2016=='Remain' AND Govthand=='Very badly';0.814723852;0.104183855;0.084881072
94;9;Govthand=='Very badly';0.762428179;0.102452968;0.07811303
95;9;Govthand=='Very badly' AND Poscountry=='Very negative effect';0.801790949;0.098568426;0.079031271
96;9;EURef2016=='Remain' AND sex=='Woman';0.945103847;0.092721705;0.08763164
97;9;Posind=='Somewhat negative effect';0.938272557;0.088298369;0.082847937
98;9;EURef2016=='Remain' AND Govthand=='Very badly' AND Poscountry=='Very negative effect';0.813411287;0.087261354;0.07097937
99;9;EURef2016=='Remain' AND work_stat=='Working full time (30 or more hours per week)';0.918442236;0.081903377;0.07522352
