age,sex,region,EURef2016,education_age,work_stat,work_organisation,work_type,Poscountry,Posind,Govthand,Tradeimmig,BrexitID
39,"Man","North West","Remain","20+","Working full time (30 or more hours per week)","Other","Clerical/junior managerial/professional/administrator (e.g. office worker, student doctor, sales person, clerk, secretar","Very negative effect","Somewhat negative effect","Very badly",1,"a Remainer"
56,"Man","North West","Remain","20+","Working full time (30 or more hours per week)","Private sector firm or company (e.g. limited companies and Plcs)","Manager or Senior Administrator / intermediate managerial / professional (e.g. company director, finance manager, person","Very negative effect","Very negative effect","Very badly",0,"a Remainer"
72,"Woman","North West","Remain","20+","Working part time (8-29 hours a week)","Self-employed","Manager or Senior Administrator / intermediate managerial / professional (e.g. company director, finance manager, person","Somewhat negative effect","Somewhat negative effect","Fairly badly",5,"a Remainer"
62,"Man","North West","Remain","15 or under","Retired","Other public sector employer (e.g. Central Government)","Other","Very negative effect","Neither positive nor negative","Very badly",1,"a Remainer"
31,"Woman","North West","Remain","20+","Working full time (30 or more hours per week)","Nationalised industry or public corporation (e.g. Post Office)","Professional or higher technical work / higher managerial - work that requires at least degree-level qualifications (e.g","Very negative effect","Somewhat negative effect","Fairly badly",0,"a Remainer"
39,"Woman","North West","Remain","20+","Working full time (30 or more hours per week)","Other public sector employer (e.g. Central Government)","Clerical/junior managerial/professional/administrator (e.g. office worker, student doctor, sales person, clerk, secretar","Very negative effect","Very negative effect","Very badly",0,"a Remainer"
37,"Woman","North West","Remain","16","Working full time (30 or more hours per week)","Charity/voluntary sector","Clerical/junior managerial/professional/administrator (e.g. office worker, student doctor, sales person, clerk, secretar","Somewhat negative effect","Somewhat negative effect","Very badly",8,"a Remainer"
35,"Man","North West","Remain","20+","Working full time (30 or more hours per week)","Nationalised industry or public corporation (e.g. Post Office)","Professional or higher technical work / higher managerial - work that requires at least degree-level qualifications (e.g","Very negative effect","Very negative effect","Very badly",2,"a Remainer"
24,"Woman","North West","Remain","20+","Working full time (30 or more hours per week)","Nationalised industry or public corporation (e.g. Post Office)","Clerical/junior managerial/professional/administrator (e.g. office worker, student doctor, sales person, clerk, secretar","Very negative effect","Somewhat negative effect","Very badly",0,"a Remainer"
65,"Woman","North West","Remain","20+","Retired","Charity/voluntary sector","Clerical/junior managerial/professional/administrator (e.g. office worker, student doctor, sales person, clerk, secretar","Very negative effect","Very negative effect","Very badly",2,"a Remainer"
64,"Woman","North West","Remain","15 or under","Working part time (8-29 hours a week)","Private sector firm or company (e.g. limited companies and Plcs)","Other","Very negative effect","Somewhat negative effect","Very badly",5,"a Remainer"
44,"Man","North West","Remain","16","Working full time (30 or more hours per week)","Private sector firm or company (e.g. limited companies and Plcs)","Professional or higher technical work / higher managerial - work that requires at least degree-level qualifications (e.g","Very negative effect","Somewhat negative effect","Very badly",0,"a Remainer"
33,"Man","North West","Remain","20+","Working part time (8-29 hours a week)","Charity/voluntary sector","Sales or Services (e.g. commercial traveller, shop assistant, nursery nurse, care assistant, paramedic)","Very positive effect","Very negative effect","Very badly",0,"a Remainer"
67,"Woman","North West","Remain","17-18","Retired","Private sector firm or company (e.g. limited companies and Plcs)","Clerical/junior managerial/professional/administrator (e.g. office worker, student doctor, sales person, clerk, secretar","Somewhat negative effect","Somewhat negative effect","Very badly",9,"a Remainer"
50,"Man","North West","Remain","17-18","Retired","Other public sector employer (e.g. Central Government)","Other","Very negative effect","Neither positive nor negative","Very badly",0,"a Remainer"
24,"Woman","North West","Remain","20+","Working full time (30 or more hours per week)","Nationalised industry or public corporation (e.g. Post Office)","Clerical/junior managerial/professional/administrator (e.g. office worker, student doctor, sales person, clerk, secretar","Somewhat negative effect","Somewhat negative effect","Fairly badly",0,"a Remainer"
25,"Woman","North West","Remain","Still at school/Full time student","Working part time (Less than 8 hours a week)","Nationalised industry or public corporation (e.g. Post Office)","Clerical/junior managerial/professional/administrator (e.g. office worker, student doctor, sales person, clerk, secretar","Very negative effect","Very negative effect","Very badly",8,"a Remainer"
25,"Man","North West","Remain","19","Unemployed","Charity/voluntary sector","Semi-Skilled or Unskilled Manual Work (e.g. machine operator, assembler, postman, waitress, cleaner, labourer, driver, b","Very negative effect","Very negative effect","Very badly",0,"a Remainer"
57,"Man","North West","Remain","20+","Retired","Other public sector employer (e.g. Central Government)","Professional or higher technical work / higher managerial - work that requires at least degree-level qualifications (e.g","Very negative effect","Somewhat negative effect","Very badly",0,"a Remainer"
64,"Woman","North West","Remain","17-18","Working part time (8-29 hours a week)","Self-employed","Manager or Senior Administrator / intermediate managerial / professional (e.g. company director, finance manager, person","Very negative effect","Very negative effect","Very badly",0,"a Remainer"
65,"Woman","North West","Remain","20+","Retired","Other public sector employer (e.g. Central Government)","Professional or higher technical work / higher managerial - work that requires at least degree-level qualifications (e.g","Very negative effect","Somewhat negative effect","Very badly",2,"Neither a Leaver nor a Remainer"
50,"Woman","North West","Remain","17-18","Working part time (8-29 hours a week)","Private sector firm or company (e.g. limited companies and Plcs)","Sales or Services (e.g. commercial traveller, shop assistant, nursery nurse, care assistant, paramedic)","Very negative effect","Very negative effect","Very badly",5,"a Remainer"
67,"Woman","North West","Remain","20+","Retired","Other public sector employer (e.g. Central Government)","Professional or higher technical work / higher managerial - work that requires at least degree-level qualifications (e.g","Very negative effect","Very negative effect","Very badly",0,"a Remainer"
57,"Woman","North West","Remain","17-18","Retired","Other","Sales or Services (e.g. commercial traveller, shop assistant, nursery nurse, care assistant, paramedic)","Somewhat negative effect","Somewhat negative effect","Very badly",5,"a Remainer"
32,"Woman","North West","Remain","20+","Working full time (30 or more hours per week)","Nationalised industry or public corporation (e.g. Post Office)","Professional or higher technical work / higher managerial - work that requires at least degree-level qualifications (e.g","Very negative effect","Very negative effect","Very badly",3,"a Remainer"
32,"Man","North West","Remain","98","Working full time (30 or more hours per week)","Private sector firm or company (e.g. limited companies and Plcs)","Clerical/junior managerial/professional/administrator (e.g. office worker, student doctor, sales person, clerk, secretar","Very negative effect","Very negative effect","Very badly",1,"a Remainer"
69,"Man","North West","Remain","15 or under","Retired","Private sector firm or company (e.g. limited companies and Plcs)","Sales or Services (e.g. commercial traveller, shop assistant, nursery nurse, care assistant, paramedic)","Don't know","Don't know","Don't know",5,"Neither a Leaver nor a Remainer"
71,"Man","North West","Remain","16","Retired","Charity/voluntary sector","Clerical/junior managerial/professional/administrator (e.g. office worker, student doctor, sales person, clerk, secretar","Very negative effect","Somewhat negative effect","Very badly",6,"a Remainer"
45,"Woman","North West","Remain","17-18","Not working","Other","Semi-Skilled or Unskilled Manual Work (e.g. machine operator, assembler, postman, waitress, cleaner, labourer, driver, b","Somewhat negative effect","Somewhat negative effect","Very badly",5,"a Remainer"
27,"Woman","North West","Remain","20+","Working part time (8-29 hours a week)","Private sector firm or company (e.g. limited companies and Plcs)","Clerical/junior managerial/professional/administrator (e.g. office worker, student doctor, sales person, clerk, secretar","Very negative effect","Somewhat negative effect","Very badly",3,"a Remainer"
33,"Man","North West","Remain","20+","Working full time (30 or more hours per week)","Charity/voluntary sector","Manager or Senior Administrator / intermediate managerial / professional (e.g. company director, finance manager, person","Somewhat negative effect","Don't know","Fairly badly",3,"a Remainer"
63,"Woman","North West","Remain","20+","Working part time (8-29 hours a week)","Nationalised industry or public corporation (e.g. Post Office)","Clerical/junior managerial/professional/administrator (e.g. office worker, student doctor, sales person, clerk, secretar","Neither positive nor negative","Neither positive nor negative","Fairly badly",3,"Neither a Leaver nor a Remainer"
26,"Woman","North West","Remain","20+","Working full time (30 or more hours per week)","Private sector firm or company (e.g. limited companies and Plcs)","Clerical/junior managerial/professional/administrator (e.g. office worker, student doctor, sales person, clerk, secretar","Very negative effect","Somewhat negative effect","Very badly",2,"a Remainer"
27,"Woman","North West","Remain","20+","Not working","Private sector firm or company (e.g. limited companies and Plcs)","Manager or Senior Administrator / intermediate managerial / professional (e.g. company director, finance manager, person","Somewhat negative effect","Somewhat negative effect","Don't know",5,"Don’t know"
69,"Woman","North West","Remain","98","Working part time (8-29 hours a week)","Self-employed","Professional or higher technical work / higher managerial - work that requires at least degree-level qualifications (e.g","Somewhat negative effect","Somewhat negative effect","Very badly",1,"a Remainer"
37,"Man","North West","Remain","20+","Working full time (30 or more hours per week)","Private sector firm or company (e.g. limited companies and Plcs)","Manager or Senior Administrator / intermediate managerial / professional (e.g. company director, finance manager, person","Very negative effect","Neither positive nor negative","Very badly",5,"a Remainer"
52,"Woman","North West","Remain","20+","Working part time (8-29 hours a week)","Self-employed","Professional or higher technical work / higher managerial - work that requires at least degree-level qualifications (e.g","Somewhat negative effect","Neither positive nor negative","Very badly",5,"a Remainer"
24,"Man","North West","Remain","20+","Unemployed","Private sector firm or company (e.g. limited companies and Plcs)","Semi-Skilled or Unskilled Manual Work (e.g. machine operator, assembler, postman, waitress, cleaner, labourer, driver, b","Very negative effect","Very negative effect","Very badly",5,"a Remainer"
35,"Woman","North West","Remain","20+","Not working","Other","Sales or Services (e.g. commercial traveller, shop assistant, nursery nurse, care assistant, paramedic)","Very negative effect","Very negative effect","Very badly",4,"a Remainer"
56,"Man","North West","Remain","15 or under","Retired","Nationalised industry or public corporation (e.g. Post Office)","Skilled Manual Work (e.g. plumber, electrician, fitter)","Very negative effect","Somewhat negative effect","Very badly",7,"a Remainer"
36,"Woman","North West","Remain","98","Working full time (30 or more hours per week)","Skipped","Professional or higher technical work / higher managerial - work that requires at least degree-level qualifications (e.g","Somewhat negative effect","Somewhat negative effect","Very badly",5,"Neither a Leaver nor a Remainer"
42,"Woman","North West","Remain","17-18","Retired","Other public sector employer (e.g. Central Government)","Other","Somewhat negative effect","Somewhat negative effect","Fairly badly",2,"a Remainer"
30,"Woman","North West","Remain","98","Other","Skipped","Sales or Services (e.g. commercial traveller, shop assistant, nursery nurse, care assistant, paramedic)","Very negative effect","Somewhat negative effect","Very badly",0,"a Remainer"
36,"Woman","North West","Remain","20+","Unemployed","Skipped","Clerical/junior managerial/professional/administrator (e.g. office worker, student doctor, sales person, clerk, secretar","Somewhat negative effect","Somewhat negative effect","Very badly",3,"Neither a Leaver nor a Remainer"
35,"Man","North West","Remain","16","Working full time (30 or more hours per week)","Other public sector employer (e.g. Central Government)","Clerical/junior managerial/professional/administrator (e.g. office worker, student doctor, sales person, clerk, secretar","Somewhat negative effect","Somewhat negative effect","Very badly",3,"a Remainer"
59,"Man","North West","Remain","98","Retired","Skipped","Manager or Senior Administrator / intermediate managerial / professional (e.g. company director, finance manager, person","Very negative effect","Somewhat negative effect","Very badly",2,"a Remainer"
34,"Woman","North West","Remain","17-18","Not working","Skipped","Other","Very negative effect","Very negative effect","Very badly",5,"a Remainer"
23,"Woman","North West","Remain","Still at school/Full time student","Working full time (30 or more hours per week)","Nationalised industry or public corporation (e.g. Post Office)","Professional or higher technical work / higher managerial - work that requires at least degree-level qualifications (e.g","Very negative effect","Somewhat negative effect","Very badly",2,"a Remainer"
24,"Woman","North West","Remain","20+","Working full time (30 or more hours per week)","Private sector firm or company (e.g. limited companies and Plcs)","Clerical/junior managerial/professional/administrator (e.g. office worker, student doctor, sales person, clerk, secretar","Very negative effect","Somewhat negative effect","Very badly",0,"a Remainer"
68,"Man","North West","Remain","98","Retired","Skipped","Professional or higher technical work / higher managerial - work that requires at least degree-level qualifications (e.g","Very negative effect","Somewhat negative effect","Very badly",8,"a Remainer"
69,"Woman","North West","Remain","20+","Retired","Skipped","Professional or higher technical work / higher managerial - work that requires at least degree-level qualifications (e.g","Very negative effect","Very negative effect","Very badly",10,"a Remainer"
60,"Woman","North West","Remain","17-18","Retired","Skipped","Clerical/junior managerial/professional/administrator (e.g. office worker, student doctor, sales person, clerk, secretar","Very negative effect","Somewhat negative effect","Very badly",5,"a Remainer"
48,"Woman","North West","Remain","98","Working full time (30 or more hours per week)","Nationalised industry or public corporation (e.g. Post Office)","Other","Somewhat positive effect","Don't know","Very badly",10,"a Remainer"
48,"Woman","North West","Remain","98","Working full time (30 or more hours per week)","Skipped","Clerical/junior managerial/professional/administrator (e.g. office worker, student doctor, sales person, clerk, secretar","Somewhat positive effect","Don't know","Fairly badly",3,"a Leaver"
71,"Man","Yorkshire and the Humber","Remain","20+","Working part time (8-29 hours a week)","Self-employed","Professional or higher technical work / higher managerial - work that requires at least degree-level qualifications (e.g","Very negative effect","Somewhat negative effect","Very badly",1,"a Remainer"
68,"Woman","Yorkshire and the Humber","Remain","20+","Working part time (8-29 hours a week)","Private sector firm or company (e.g. limited companies and Plcs)","Professional or higher technical work / higher managerial - work that requires at least degree-level qualifications (e.g","Very negative effect","Very negative effect","Very badly",0,"a Remainer"
70,"Man","Yorkshire and the Humber","Remain","15 or under","Retired","Private sector firm or company (e.g. limited companies and Plcs)","Other","Somewhat negative effect","Neither positive nor negative","Very badly",2,"a Remainer"
51,"Man","Yorkshire and the Humber","Remain","20+","Not working","Other public sector employer (e.g. Central Government)","Manager or Senior Administrator / intermediate managerial / professional (e.g. company director, finance manager, person","Very negative effect","Somewhat negative effect","Very badly",3,"a Remainer"
59,"Man","Yorkshire and the Humber","Remain","16","Working full time (30 or more hours per week)","Nationalised industry or public corporation (e.g. Post Office)","Semi-Skilled or Unskilled Manual Work (e.g. machine operator, assembler, postman, waitress, cleaner, labourer, driver, b","Somewhat negative effect","Neither positive nor negative","Very badly",5,"a Remainer"
53,"Man","Yorkshire and the Humber","Remain","16","Working full time (30 or more hours per week)","Charity/voluntary sector","Semi-Skilled or Unskilled Manual Work (e.g. machine operator, assembler, postman, waitress, cleaner, labourer, driver, b","Very negative effect","Somewhat negative effect","Very badly",0,"a Remainer"
46,"Woman","Yorkshire and the Humber","Remain","15 or under","Working part time (8-29 hours a week)","Private sector firm or company (e.g. limited companies and Plcs)","Manager or Senior Administrator / intermediate managerial / professional (e.g. company director, finance manager, person","Very negative effect","Somewhat negative effect","Very badly",1,"a Remainer"
68,"Man","Yorkshire and the Humber","Remain","20+","Working full time (30 or more hours per week)","Charity/voluntary sector","Professional or higher technical work / higher managerial - work that requires at least degree-level qualifications (e.g","Very negative effect","Very negative effect","Very badly",0,"a Remainer"
56,"Man","Yorkshire and the Humber","Remain","17-18","Working full time (30 or more hours per week)","Other public sector employer (e.g. Central Government)","Clerical/junior managerial/professional/administrator (e.g. office worker, student doctor, sales person, clerk, secretar","Somewhat negative effect","Neither positive nor negative","Very badly",5,"a Remainer"
51,"Woman","Yorkshire and the Humber","Remain","16","Working full time (30 or more hours per week)","Private sector firm or company (e.g. limited companies and Plcs)","Clerical/junior managerial/professional/administrator (e.g. office worker, student doctor, sales person, clerk, secretar","Somewhat negative effect","Neither positive nor negative","Very badly",5,"a Remainer"
36,"Woman","Yorkshire and the Humber","Remain","19","Not working","Other","Skilled Manual Work (e.g. plumber, electrician, fitter)","Somewhat negative effect","Don't know","Very badly",4,"a Remainer"
43,"Woman","Yorkshire and the Humber","Remain","20+","Working full time (30 or more hours per week)","Private sector firm or company (e.g. limited companies and Plcs)","Professional or higher technical work / higher managerial - work that requires at least degree-level qualifications (e.g","Somewhat negative effect","Very negative effect","Very badly",2,"Neither a Leaver nor a Remainer"
62,"Woman","Yorkshire and the Humber","Remain","16","Working full time (30 or more hours per week)","Private sector firm or company (e.g. limited companies and Plcs)","Clerical/junior managerial/professional/administrator (e.g. office worker, student doctor, sales person, clerk, secretar","Very negative effect","Very negative effect","Very badly",2,"a Remainer"
71,"Woman","Yorkshire and the Humber","Remain","16","Retired","Other public sector employer (e.g. Central Government)","Clerical/junior managerial/professional/administrator (e.g. office worker, student doctor, sales person, clerk, secretar","Very negative effect","Neither positive nor negative","Very badly",2,"a Remainer"
45,"Man","Yorkshire and the Humber","Remain","20+","Working full time (30 or more hours per week)","Nationalised industry or public corporation (e.g. Post Office)","Professional or higher technical work / higher managerial - work that requires at least degree-level qualifications (e.g","Somewhat positive effect","Neither positive nor negative","Very badly",5,"a Leaver"
47,"Woman","Yorkshire and the Humber","Remain","19","Working full time (30 or more hours per week)","Nationalised industry or public corporation (e.g. Post Office)","Sales or Services (e.g. commercial traveller, shop assistant, nursery nurse, care assistant, paramedic)","Somewhat negative effect","Somewhat negative effect","Very badly",9,"Neither a Leaver nor a Remainer"
76,"Man","Yorkshire and the Humber","Remain","19","Retired","Charity/voluntary sector","Professional or higher technical work / higher managerial - work that requires at least degree-level qualifications (e.g","Very negative effect","Somewhat negative effect","Very badly",0,"a Remainer"
48,"Man","Yorkshire and the Humber","Remain","16","Not working","Private sector firm or company (e.g. limited companies and Plcs)","Sales or Services (e.g. commercial traveller, shop assistant, nursery nurse, care assistant, paramedic)","Somewhat negative effect","Neither positive nor negative","Fairly badly",2,"Neither a Leaver nor a Remainer"
49,"Man","Yorkshire and the Humber","Remain","16","Working full time (30 or more hours per week)","Other public sector employer (e.g. Central Government)","Clerical/junior managerial/professional/administrator (e.g. office worker, student doctor, sales person, clerk, secretar","Somewhat negative effect","Neither positive nor negative","Very badly",3,"a Remainer"
37,"Man","Yorkshire and the Humber","Remain","20+","Working full time (30 or more hours per week)","Nationalised industry or public corporation (e.g. Post Office)","Professional or higher technical work / higher managerial - work that requires at least degree-level qualifications (e.g","Somewhat negative effect","Neither positive nor negative","Very badly",8,"Neither a Leaver nor a Remainer"
95,"Woman","Yorkshire and the Humber","Remain","15 or under","Retired","Skipped","Clerical/junior managerial/professional/administrator (e.g. office worker, student doctor, sales person, clerk, secretar","Somewhat positive effect","Neither positive nor negative","Fairly badly",3,"a Leaver"
48,"Woman","Yorkshire and the Humber","Remain","17-18","Working part time (8-29 hours a week)","Private sector firm or company (e.g. limited companies and Plcs)","Sales or Services (e.g. commercial traveller, shop assistant, nursery nurse, care assistant, paramedic)","Neither positive nor negative","Don't know","Very badly",2,"a Remainer"
41,"Woman","Yorkshire and the Humber","Remain","20+","Working full time (30 or more hours per week)","Private sector firm or company (e.g. limited companies and Plcs)","Semi-Skilled or Unskilled Manual Work (e.g. machine operator, assembler, postman, waitress, cleaner, labourer, driver, b","Don't know","Don't know","Very badly",2,"a Remainer"
64,"Man","Yorkshire and the Humber","Remain","20+","Not working","Other public sector employer (e.g. Central Government)","Clerical/junior managerial/professional/administrator (e.g. office worker, student doctor, sales person, clerk, secretar","Very negative effect","Somewhat negative effect","Very badly",0,"a Remainer"
