,Index,Wave,ID,age,sex,ethnicity1,ethnicity2,region,GEvote2015,EURef2016,GEvote2017,GEvote2019,partyid,political_attention,newspaper_readership,profile_gross_personal,profile_gross_household,education_age,education_level,socialgradeCIE1,socialgradeCIE2,work_stat,work_organisation,work_type,Weight,starttime,endtime,Hindsight,Poscountry,Posind,Govthand,Tradeimmig,BrexitID,Leaverimport,Remainimport,Genecon
4862,4862,4.0,21.0,45.0,Woman,,,South West,Liberal Democrat,Remain,Labour,Missing,Yes - Liberal Democrat,,,Not Asked or missing,Not Asked or missing,20+,"University or CNAA higher degree (e.g. M.Sc, Ph.D)",,B,Working part time (8-29 hours a week),Private sector firm or company (e.g. limited companies and Plcs),"Clerical/junior managerial/professional/administrator (e.g. office worker, student doctor, sales person, clerk, secretar",0.6399047942944432,2018-01-09 17:30:01,2018-01-09 17:49:32,Wrong,Somewhat negative effect,Don't know,Don't know,0.0,a Remainer,,,A little worse
4863,4863,4.0,22.0,84.0,Man,,,South East,UKIP,Leave,Conservative,Missing,Yes some other party,,,Not Asked or missing,Not Asked or missing,15 or under,ONC,,C2,Retired,Private sector firm or company (e.g. limited companies and Plcs),Other,1.119365574647473,2018-01-09 18:52:33,2018-01-09 19:40:15,Right,Very positive effect,Very positive effect,Fairly well,10.0,a Leaver,,,The same
4864,4864,4.0,23.0,61.0,Man,,,South West,Labour,Leave,Labour,Missing,Yes - Labour,,,Not Asked or missing,Not Asked or missing,15 or under,Prefer not to say,,A,Working full time (30 or more hours per week),Charity/voluntary sector,Professional or higher technical work / higher managerial - work that requires at least degree-level qualifications (e.g,0.6951489281793297,2018-01-09 18:26:43,2018-01-09 18:34:56,Right,Somewhat positive effect,Very positive effect,Very badly,0.0,a Leaver,,,A little worse
4865,4865,4.0,24.0,82.0,Man,,,East Midlands,Labour,Remain,Labour,Missing,Yes - Labour,,,Not Asked or missing,Not Asked or missing,20+,GCE A level or Higher Certificate,,A,Retired,Other public sector employer (e.g. Central Government),"Manager or Senior Administrator / intermediate managerial / professional (e.g. company director, finance manager, person",0.6407405039434909,2018-01-09 17:18:56,2018-01-09 17:51:27,Wrong,Very negative effect,Somewhat negative effect,Very badly,0.0,a Remainer,,,A little worse
4866,4866,4.0,25.0,48.0,Woman,,,North West,Labour,Remain,Labour,Missing,Yes - Labour,,,Not Asked or missing,Not Asked or missing,20+,"University or CNAA first degree (e.g. BA, B.Sc, B.Ed)",,C1,Working full time (30 or more hours per week),Private sector firm or company (e.g. limited companies and Plcs),"Clerical/junior managerial/professional/administrator (e.g. office worker, student doctor, sales person, clerk, secretar",0.6579095850317327,2018-01-09 18:06:54,2018-01-09 18:18:15,Wrong,Very negative effect,Somewhat negative effect,Very badly,0.0,a Remainer,,,A little worse
4867,4867,4.0,26.0,76.0,Man,,,South West,Conservative,Leave,Conservative,Missing,Yes - Conservative,,,Not Asked or missing,Not Asked or missing,17-18,"University or CNAA first degree (e.g. BA, B.Sc, B.Ed)",,C1,Retired,Private sector firm or company (e.g. limited companies and Plcs),Professional or higher technical work / higher managerial - work that requires at least degree-level qualifications (e.g,0.9600013628805962,2018-01-09 19:05:39,2018-01-09 19:13:11,Right,Somewhat positive effect,Neither positive nor negative,Fairly well,5.0,a Leaver,,,The same
4868,4868,4.0,27.0,70.0,Man,,,Wales,Labour,Remain,Labour,Missing,Yes - Labour,,,Not Asked or missing,Not Asked or missing,17-18,"CSE grade 1, GCE O level, GCSE, School Certificate",,C2,Retired,Private sector firm or company (e.g. limited companies and Plcs),"Semi-Skilled or Unskilled Manual Work (e.g. machine operator, assembler, postman, waitress, cleaner, labourer, driver, b",1.0652501100064888,2018-01-09 18:29:50,2018-01-09 18:46:10,Wrong,Somewhat negative effect,Somewhat negative effect,Don't know,3.0,a Remainer,,,A little worse
4869,4869,4.0,28.0,54.0,Man,,,South East,Conservative,Remain,Liberal Democrat,Missing,No don’t think of myself as any of these,,,Not Asked or missing,Not Asked or missing,15 or under,CSE grades 2-5,,B,Working full time (30 or more hours per week),Private sector firm or company (e.g. limited companies and Plcs),"Clerical/junior managerial/professional/administrator (e.g. office worker, student doctor, sales person, clerk, secretar",0.6176134585597387,2018-01-09 18:27:50,2018-01-09 18:35:32,Wrong,Somewhat negative effect,Don't know,Very badly,2.0,a Remainer,,,A little worse
4870,4870,4.0,29.0,43.0,Man,,,London,DK or did not vote,Remain,DK or did not vote,Missing,No don’t think of myself as any of these,,,Not Asked or missing,Not Asked or missing,20+,"University or CNAA first degree (e.g. BA, B.Sc, B.Ed)",,E,Not working,Private sector firm or company (e.g. limited companies and Plcs),Professional or higher technical work / higher managerial - work that requires at least degree-level qualifications (e.g,0.9874845677597738,2018-01-09 23:44:54,2018-01-09 23:52:50,Wrong,Very negative effect,Somewhat negative effect,Very badly,2.0,a Remainer,,,A little worse
4871,4871,4.0,30.0,44.0,Woman,,,Wales,Liberal Democrat,Leave,Conservative,Missing,Yes - Conservative,,,Not Asked or missing,Not Asked or missing,16,"CSE grade 1, GCE O level, GCSE, School Certificate",,C1,Working full time (30 or more hours per week),Private sector firm or company (e.g. limited companies and Plcs),"Clerical/junior managerial/professional/administrator (e.g. office worker, student doctor, sales person, clerk, secretar",0.7989966393335713,2018-01-09 18:54:48,2018-01-09 18:59:40,Don’t know,Neither positive nor negative,Neither positive nor negative,Don't know,5.0,Don’t know,,,A little worse
4872,4872,4.0,31.0,63.0,Man,,,Scotland,Labour,Leave,Conservative,Missing,Yes - Labour,,,Not Asked or missing,Not Asked or missing,20+,Teaching qualification (not degree),,E,Retired,Other public sector employer (e.g. Central Government),"Manager or Senior Administrator / intermediate managerial / professional (e.g. company director, finance manager, person",0.735383731048619,2018-01-09 18:23:24,2018-01-09 18:43:26,Right,Somewhat positive effect,Somewhat positive effect,Very well,7.0,a Leaver,,,A little worse
4873,4873,4.0,32.0,55.0,Woman,,,West Midlands,Labour,Leave,Labour,Missing,Yes - Labour,,,Not Asked or missing,Not Asked or missing,16,GCE A level or Higher Certificate,,C1,Not working,Nationalised industry or public corporation (e.g. Post Office),"Clerical/junior managerial/professional/administrator (e.g. office worker, student doctor, sales person, clerk, secretar",0.9296749532245846,2018-01-09 17:58:18,2018-01-09 18:11:31,Don’t know,Somewhat positive effect,Neither positive nor negative,Don't know,7.0,Neither a Leaver nor a Remainer,,,The same
4874,4874,4.0,33.0,56.0,Woman,,,East Midlands,Labour,Remain,Labour,Missing,Yes - Labour,,,Not Asked or missing,Not Asked or missing,20+,"University or CNAA first degree (e.g. BA, B.Sc, B.Ed)",,B,Working part time (8-29 hours a week),Nationalised industry or public corporation (e.g. Post Office),Professional or higher technical work / higher managerial - work that requires at least degree-level qualifications (e.g,0.6950324912946065,2018-01-09 18:03:08,2018-01-09 18:12:16,Wrong,Very negative effect,Somewhat negative effect,Very badly,0.0,a Remainer,,,A little worse
4875,4875,4.0,34.0,62.0,Woman,,,Yorkshire and the Humber,Green,Did not vote,Other,Missing,Yes - Labour,,,Not Asked or missing,Not Asked or missing,20+,"University or CNAA first degree (e.g. BA, B.Sc, B.Ed)",,B,Retired,Nationalised industry or public corporation (e.g. Post Office),Professional or higher technical work / higher managerial - work that requires at least degree-level qualifications (e.g,0.6757776141667903,2018-01-09 17:55:57,2018-01-09 18:07:25,Don’t know,Don't know,Don't know,Don't know,5.0,Neither a Leaver nor a Remainer,,,The same
4876,4876,4.0,35.0,71.0,Man,,,West Midlands,Liberal Democrat,Remain,Labour,Missing,Yes - Liberal Democrat,,,Not Asked or missing,Not Asked or missing,16,"CSE grade 1, GCE O level, GCSE, School Certificate",,E,Retired,Private sector firm or company (e.g. limited companies and Plcs),"Sales or Services (e.g. commercial traveller, shop assistant, nursery nurse, care assistant, paramedic)",0.7767828524508078,2018-01-09 20:21:26,2018-01-09 20:32:12,Wrong,Very negative effect,Somewhat negative effect,Very badly,0.0,a Remainer,,,A little worse
4877,4877,4.0,36.0,52.0,Woman,,,East Midlands,Labour,Remain,Labour,Missing,Yes - Labour,,,Not Asked or missing,Not Asked or missing,19,"Other technical, professional or higher qualification",,E,Other,Other,"Clerical/junior managerial/professional/administrator (e.g. office worker, student doctor, sales person, clerk, secretar",0.6244302077756163,2018-01-09 17:53:24,2018-01-09 18:04:45,Wrong,Very negative effect,Somewhat negative effect,Very badly,0.0,a Remainer,,,A lot worse
4878,4878,4.0,37.0,31.0,Woman,,,Wales,UKIP,Leave,UKIP,Missing,Yes - Labour,,,Not Asked or missing,Not Asked or missing,17-18,"CSE grade 1, GCE O level, GCSE, School Certificate",,D,Full time student,Nationalised industry or public corporation (e.g. Post Office),"Semi-Skilled or Unskilled Manual Work (e.g. machine operator, assembler, postman, waitress, cleaner, labourer, driver, b",0.4107796672316823,2018-01-09 18:00:46,2018-01-09 18:23:32,Right,Very positive effect,Neither positive nor negative,Fairly badly,10.0,a Leaver,,,The same
4879,4879,4.0,38.0,64.0,Woman,,,Yorkshire and the Humber,Conservative,Leave,Conservative,Missing,Yes - Conservative,,,Not Asked or missing,Not Asked or missing,16,"Nursing qualification (e.g. SEN, SRN, SCM, RGN)",,B,Retired,Private sector firm or company (e.g. limited companies and Plcs),Other,1.0075661253782056,2018-01-09 18:57:21,2018-01-09 19:12:53,Wrong,Somewhat positive effect,Neither positive nor negative,Fairly well,7.0,a Leaver,,,The same
4880,4880,4.0,39.0,31.0,Man,,,East of England,Conservative,Did not vote,DK or did not vote,Missing,Don't know,,,Not Asked or missing,Not Asked or missing,17-18,Don't know,,E,Other,Other,Other,1.6091743434039707,2018-01-09 23:26:47,2018-01-09 23:28:53,Right,Don't know,Don't know,Don't know,5.0,Don’t know,,,A lot better
4881,4881,4.0,40.0,72.0,Man,,,Scotland,Liberal Democrat,Remain,DK or did not vote,Missing,Yes - Conservative,,,Not Asked or missing,Not Asked or missing,20+,"University or CNAA first degree (e.g. BA, B.Sc, B.Ed)",,C1,Retired,Private sector firm or company (e.g. limited companies and Plcs),"Manager or Senior Administrator / intermediate managerial / professional (e.g. company director, finance manager, person",0.7387572613299369,2018-01-10 10:05:42,2018-01-10 10:14:33,Wrong,Very negative effect,Somewhat negative effect,Very badly,2.0,a Remainer,,,The same
4882,4882,4.0,41.0,32.0,Woman,,,London,Labour,Remain,Liberal Democrat,Missing,No don’t think of myself as any of these,,,Not Asked or missing,Not Asked or missing,20+,"University or CNAA first degree (e.g. BA, B.Sc, B.Ed)",,C1,Working full time (30 or more hours per week),Charity/voluntary sector,"Manager or Senior Administrator / intermediate managerial / professional (e.g. company director, finance manager, person",0.6195674380258628,2018-01-09 17:20:16,2018-01-09 17:30:20,Wrong,Very negative effect,Neither positive nor negative,Very badly,0.0,a Remainer,,,A little worse
4883,4883,4.0,42.0,71.0,Man,,,South East,UKIP,Leave,Conservative,Missing,Yes - Conservative,,,Not Asked or missing,Not Asked or missing,16,No formal qualifications,,C1,Retired,Private sector firm or company (e.g. limited companies and Plcs),"Semi-Skilled or Unskilled Manual Work (e.g. machine operator, assembler, postman, waitress, cleaner, labourer, driver, b",0.9600013628805962,2018-01-09 20:13:05,2018-01-09 20:35:06,Right,Somewhat positive effect,Neither positive nor negative,Fairly badly,5.0,a Leaver,,,A little worse
4884,4884,4.0,43.0,46.0,Man,,,South West,Other,Remain,Other,Missing,Yes - Liberal Democrat,,,Not Asked or missing,Not Asked or missing,17-18,GCE A level or Higher Certificate,,C1,Working full time (30 or more hours per week),Other public sector employer (e.g. Central Government),"Clerical/junior managerial/professional/administrator (e.g. office worker, student doctor, sales person, clerk, secretar",0.5602883064467783,2018-01-09 18:40:17,2018-01-09 18:55:47,Wrong,Very negative effect,Very negative effect,Very badly,3.0,a Remainer,,,A little worse
4885,4885,4.0,44.0,38.0,Woman,,,Wales,Conservative,Remain,Liberal Democrat,Missing,No don’t think of myself as any of these,,,Not Asked or missing,Not Asked or missing,20+,"University or CNAA higher degree (e.g. M.Sc, Ph.D)",,C2,Working part time (8-29 hours a week),Nationalised industry or public corporation (e.g. Post Office),Professional or higher technical work / higher managerial - work that requires at least degree-level qualifications (e.g,0.7985538650222389,2018-01-09 19:22:09,2018-01-09 19:30:05,Wrong,Somewhat negative effect,Neither positive nor negative,Fairly badly,3.0,a Remainer,,,The same
4886,4886,4.0,45.0,40.0,Woman,,,South West,Other,Leave,Conservative,Missing,Don't know,,,Not Asked or missing,Not Asked or missing,20+,"University or CNAA higher degree (e.g. M.Sc, Ph.D)",,E,Not working,Have never worked,Have never worked,2.202473830361596,2018-01-09 22:47:25,2018-01-09 22:52:41,Don’t know,Neither positive nor negative,Neither positive nor negative,Don't know,5.0,Neither a Leaver nor a Remainer,,,The same
4887,4887,4.0,46.0,34.0,Man,,,Scotland,Conservative,Remain,Conservative,Missing,Don't know,,,Not Asked or missing,Not Asked or missing,20+,"University or CNAA higher degree (e.g. M.Sc, Ph.D)",,C1,Working full time (30 or more hours per week),Other public sector employer (e.g. Central Government),"Clerical/junior managerial/professional/administrator (e.g. office worker, student doctor, sales person, clerk, secretar",1.217265014685128,2018-01-09 18:23:15,2018-01-09 18:34:05,Don’t know,Neither positive nor negative,Neither positive nor negative,Fairly well,5.0,Neither a Leaver nor a Remainer,,,The same
4888,4888,4.0,47.0,47.0,Woman,,,South East,Labour,Remain,Labour,Missing,No don’t think of myself as any of these,,,Not Asked or missing,Not Asked or missing,20+,"University or CNAA higher degree (e.g. M.Sc, Ph.D)",,A,Working part time (8-29 hours a week),Nationalised industry or public corporation (e.g. Post Office),"Clerical/junior managerial/professional/administrator (e.g. office worker, student doctor, sales person, clerk, secretar",0.6399047942944432,2018-01-09 18:37:32,2018-01-09 18:46:31,Wrong,Somewhat negative effect,Very negative effect,Very badly,0.0,a Remainer,,,A little worse
4889,4889,4.0,48.0,56.0,Man,,,Scotland,DK or did not vote,Leave,DK or did not vote,Missing,Yes - SNP or Plaid Cymru,,,Not Asked or missing,Not Asked or missing,Still at school/Full time student,"Other technical, professional or higher qualification",,C2,Full time student,Other,Other,2.2614762733744973,2018-01-09 18:55:23,2018-01-09 19:07:06,Don’t know,Neither positive nor negative,Neither positive nor negative,Fairly well,0.0,a Leaver,,,A lot worse
4890,4890,4.0,49.0,78.0,Woman,,,East of England,Conservative,Leave,Conservative,Missing,Yes - Conservative,,,Not Asked or missing,Not Asked or missing,17-18,"CSE grade 1, GCE O level, GCSE, School Certificate",,B,Retired,Other,"Clerical/junior managerial/professional/administrator (e.g. office worker, student doctor, sales person, clerk, secretar",0.9162331657281124,2018-01-09 18:03:22,2018-01-09 18:17:50,Right,Somewhat positive effect,Somewhat positive effect,Fairly badly,7.0,a Leaver,,,A little worse
4891,4891,4.0,50.0,70.0,Woman,,,Yorkshire and the Humber,Conservative,Remain,Conservative,Missing,Yes - Conservative,,,Not Asked or missing,Not Asked or missing,19,GCE A level or Higher Certificate,,E,Retired,Private sector firm or company (e.g. limited companies and Plcs),"Manager or Senior Administrator / intermediate managerial / professional (e.g. company director, finance manager, person",0.8341420483980474,2018-01-09 20:08:45,2018-01-09 20:33:22,Wrong,Very negative effect,Very negative effect,Fairly badly,10.0,Neither a Leaver nor a Remainer,,,The same
4892,4892,4.0,51.0,56.0,Man,,,Yorkshire and the Humber,Conservative,Leave,DK or did not vote,Missing,Yes - Conservative,,,Not Asked or missing,Not Asked or missing,16,CSE grades 2-5,,D,Working full time (30 or more hours per week),Private sector firm or company (e.g. limited companies and Plcs),"Semi-Skilled or Unskilled Manual Work (e.g. machine operator, assembler, postman, waitress, cleaner, labourer, driver, b",0.613786550678263,2018-01-09 19:11:03,2018-01-09 19:29:50,Right,Somewhat positive effect,Neither positive nor negative,Fairly badly,7.0,a Leaver,,,A little worse
4893,4893,4.0,52.0,76.0,Woman,,,East Midlands,Other,Cannot remember,DK or did not vote,Missing,No don’t think of myself as any of these,,,Not Asked or missing,Not Asked or missing,20+,"University or CNAA higher degree (e.g. M.Sc, Ph.D)",,A,Retired,Other public sector employer (e.g. Central Government),Professional or higher technical work / higher managerial - work that requires at least degree-level qualifications (e.g,2.355807447042581,2018-01-10 07:40:30,2018-01-10 07:50:16,Right,Somewhat positive effect,Don't know,Very badly,5.0,a Leaver,,,A lot worse
4894,4894,4.0,53.0,64.0,Woman,,,West Midlands,Conservative,Leave,Conservative,Missing,No don’t think of myself as any of these,,,Not Asked or missing,Not Asked or missing,20+,"Nursing qualification (e.g. SEN, SRN, SCM, RGN)",,C2,Retired,Other public sector employer (e.g. Central Government),Professional or higher technical work / higher managerial - work that requires at least degree-level qualifications (e.g,1.1534603536530583,2018-01-09 18:59:58,2018-01-09 19:23:24,Right,Very positive effect,Somewhat positive effect,Fairly well,4.0,a Leaver,,,A little better
4895,4895,4.0,54.0,70.0,Man,,,South West,Labour,Remain,Labour,Missing,Yes - Labour,,,Not Asked or missing,Not Asked or missing,17-18,City & Guilds certificate,,C2,Retired,Nationalised industry or public corporation (e.g. Post Office),"Skilled Manual Work (e.g. plumber, electrician, fitter)",0.7811397585018766,2018-01-09 18:15:09,2018-01-09 18:31:14,Don’t know,Neither positive nor negative,Neither positive nor negative,Very badly,5.0,Neither a Leaver nor a Remainer,,,A little worse
4896,4896,4.0,55.0,66.0,Woman,,,South West,Conservative,Leave,Conservative,Missing,Yes - Conservative,,,Not Asked or missing,Not Asked or missing,20+,"Other technical, professional or higher qualification",,A,Retired,Nationalised industry or public corporation (e.g. Post Office),Professional or higher technical work / higher managerial - work that requires at least degree-level qualifications (e.g,0.7310240758126243,2018-01-09 18:30:50,2018-01-09 18:59:28,Don’t know,Somewhat positive effect,Neither positive nor negative,Fairly well,3.0,Neither a Leaver nor a Remainer,,,The same
