age,sex,region,EURef2016,education_level,work_stat,work_type,Poscountry,Posind,Govthand,Tradeimmig,BrexitID
42,"Man","Scotland","Leave","Clerical and commercial","Working full time (30 or more hours per week)","Clerical/junior managerial/professional/administrator (e.g. office worker, student doctor, sales person, clerk, secretar","Somewhat positive effect","Somewhat positive effect","Fairly well",8,"Neither a Leaver nor a Remainer"
56,"Woman","South East","Leave","CSE grade 1, GCE O level, GCSE, School Certificate","Working part time (Less than 8 hours a week)","Clerical/junior managerial/professional/administrator (e.g. office worker, student doctor, sales person, clerk, secretar","Very positive effect","Somewhat positive effect","Fairly well",9,"a Leaver"
70,"Woman","South East","Leave","Other technical, professional or higher qualification","Retired","Sales or Services (e.g. commercial traveller, shop assistant, nursery nurse, care assistant, paramedic)","Somewhat positive effect","Neither positive nor negative","Fairly badly",5,"Neither a Leaver nor a Remainer"
61,"Man","North West","Leave","City & Guilds certificate - advanced","Working part time (8-29 hours a week)","Skilled Manual Work (e.g. plumber, electrician, fitter)","Somewhat positive effect","Somewhat positive effect","Fairly badly",4,"a Leaver"
45,"Man","London","Did not vote","University or CNAA first degree (e.g. BA, B.Sc, B.Ed)","Retired","Professional or higher technical work / higher managerial - work that requires at least degree-level qualifications (e.g","Very negative effect","Somewhat negative effect","Very badly",0,"a Remainer"
62,"Man","South East","Leave","University diploma","Working full time (30 or more hours per week)","Manager or Senior Administrator / intermediate managerial / professional (e.g. company director, finance manager, person","Very positive effect","Somewhat positive effect","Very well",9,"a Leaver"
56,"Man","West Midlands","Leave","CSE grade 1, GCE O level, GCSE, School Certificate","Working full time (30 or more hours per week)","Clerical/junior managerial/professional/administrator (e.g. office worker, student doctor, sales person, clerk, secretar","Very positive effect","Neither positive nor negative","Very badly",5,"a Leaver"
52,"Man","London","Remain","GCE A level or Higher Certificate","Working full time (30 or more hours per week)","Clerical/junior managerial/professional/administrator (e.g. office worker, student doctor, sales person, clerk, secretar","Very negative effect","Very negative effect","Fairly badly",7,"a Remainer"
48,"Man","Yorkshire and the Humber","Remain","University or CNAA first degree (e.g. BA, B.Sc, B.Ed)","Working full time (30 or more hours per week)","Professional or higher technical work / higher managerial - work that requires at least degree-level qualifications (e.g","Somewhat negative effect","Neither positive nor negative","Fairly badly",1,"a Remainer"
46,"Woman","London","Remain","CSE grade 1, GCE O level, GCSE, School Certificate","Working full time (30 or more hours per week)","Other","Very negative effect","Very negative effect","Very badly",0,"a Remainer"
72,"Woman","East of England","Leave","GCE A level or Higher Certificate","Retired","Clerical/junior managerial/professional/administrator (e.g. office worker, student doctor, sales person, clerk, secretar","Somewhat positive effect","Somewhat positive effect","Fairly well",8,"a Leaver"
55,"Woman","London","Remain","GCE A level or Higher Certificate","Working full time (30 or more hours per week)","Clerical/junior managerial/professional/administrator (e.g. office worker, student doctor, sales person, clerk, secretar","Very negative effect","Somewhat negative effect","Fairly badly",3,"a Remainer"
43,"Man","North West","Leave","City & Guilds certificate - advanced","Working full time (30 or more hours per week)","Semi-Skilled or Unskilled Manual Work (e.g. machine operator, assembler, postman, waitress, cleaner, labourer, driver, b","Very positive effect","Somewhat positive effect","Fairly badly",7,"a Leaver"
37,"Woman","North East","Remain","University or CNAA first degree (e.g. BA, B.Sc, B.Ed)","Working full time (30 or more hours per week)","Clerical/junior managerial/professional/administrator (e.g. office worker, student doctor, sales person, clerk, secretar","Somewhat negative effect","Very negative effect","Fairly badly",7,"a Remainer"
41,"Man","East of England","Remain","GCE A level or Higher Certificate","Working full time (30 or more hours per week)","Other","Somewhat negative effect","Somewhat negative effect","Don't know",4,"a Remainer"
73,"Woman","East Midlands","Remain","University or CNAA higher degree (e.g. M.Sc, Ph.D)","Retired","Professional or higher technical work / higher managerial - work that requires at least degree-level qualifications (e.g","Somewhat negative effect","Neither positive nor negative","Fairly badly",4,"Neither a Leaver nor a Remainer"
69,"Man","London","Remain","No formal qualifications","Retired","Clerical/junior managerial/professional/administrator (e.g. office worker, student doctor, sales person, clerk, secretar","Very negative effect","Somewhat negative effect","Very badly",5,"a Remainer"
66,"Woman","Yorkshire and the Humber","Leave","CSE grades 2-5","Working full time (30 or more hours per week)","Clerical/junior managerial/professional/administrator (e.g. office worker, student doctor, sales person, clerk, secretar","Somewhat positive effect","Neither positive nor negative","Fairly well",9,"a Leaver"
85,"Woman","South East","Leave","CSE grades 2-5","Retired","Clerical/junior managerial/professional/administrator (e.g. office worker, student doctor, sales person, clerk, secretar","Very positive effect","Somewhat positive effect","Fairly badly",8,"a Leaver"
67,"Man","Scotland","Leave","University or CNAA higher degree (e.g. M.Sc, Ph.D)","Working full time (30 or more hours per week)","Professional or higher technical work / higher managerial - work that requires at least degree-level qualifications (e.g","Very positive effect","Very positive effect","Fairly well",5,"a Leaver"
44,"Woman","South West","Remain","University or CNAA first degree (e.g. BA, B.Sc, B.Ed)","Working full time (30 or more hours per week)","Clerical/junior managerial/professional/administrator (e.g. office worker, student doctor, sales person, clerk, secretar","Somewhat negative effect","Somewhat negative effect","Fairly well",3,"a Remainer"
69,"Woman","North West","Leave","CSE grade 1, GCE O level, GCSE, School Certificate","Retired","Clerical/junior managerial/professional/administrator (e.g. office worker, student doctor, sales person, clerk, secretar","Very positive effect","Neither positive nor negative","Fairly well",10,"a Leaver"
71,"Man","London","Remain","No formal qualifications","Working full time (30 or more hours per week)","Manager or Senior Administrator / intermediate managerial / professional (e.g. company director, finance manager, person","Very negative effect","Somewhat negative effect","Don't know",0,"a Remainer"
75,"Woman","Scotland","Leave","University or CNAA first degree (e.g. BA, B.Sc, B.Ed)","Retired","Manager or Senior Administrator / intermediate managerial / professional (e.g. company director, finance manager, person","Neither positive nor negative","Neither positive nor negative","Fairly badly",4,"Neither a Leaver nor a Remainer"
38,"Man","West Midlands","Remain","GCE A level or Higher Certificate","Working full time (30 or more hours per week)","Semi-Skilled or Unskilled Manual Work (e.g. machine operator, assembler, postman, waitress, cleaner, labourer, driver, b","Somewhat negative effect","Somewhat negative effect","Very badly",1,"Neither a Leaver nor a Remainer"
68,"Man","South East","Leave","University or CNAA higher degree (e.g. M.Sc, Ph.D)","Working full time (30 or more hours per week)","Professional or higher technical work / higher managerial - work that requires at least degree-level qualifications (e.g","Very positive effect","Don't know","Don't know",6,"a Leaver"
56,"Woman","East Midlands","Remain","Other technical, professional or higher qualification","Working full time (30 or more hours per week)","Semi-Skilled or Unskilled Manual Work (e.g. machine operator, assembler, postman, waitress, cleaner, labourer, driver, b","Neither positive nor negative","Don't know","Don't know",4,"Neither a Leaver nor a Remainer"
53,"Man","North East","Leave","CSE grade 1, GCE O level, GCSE, School Certificate","Working full time (30 or more hours per week)","Skilled Manual Work (e.g. plumber, electrician, fitter)","Very positive effect","Somewhat positive effect","Don't know",5,"a Leaver"
69,"Woman","London","Leave","Clerical and commercial","Working part time (8-29 hours a week)","Clerical/junior managerial/professional/administrator (e.g. office worker, student doctor, sales person, clerk, secretar","Somewhat positive effect","Neither positive nor negative","Fairly well",6,"a Leaver"
58,"Woman","Wales","Remain","Nursing qualification (e.g. SEN, SRN, SCM, RGN)","Working part time (8-29 hours a week)","Clerical/junior managerial/professional/administrator (e.g. office worker, student doctor, sales person, clerk, secretar","Somewhat negative effect","Neither positive nor negative","Fairly badly",5,"a Remainer"
47,"Woman","Scotland","Did not vote","Scottish Higher Certificate","Working part time (8-29 hours a week)","Sales or Services (e.g. commercial traveller, shop assistant, nursery nurse, care assistant, paramedic)","Somewhat negative effect","Don't know","Very badly",5,"Neither a Leaver nor a Remainer"
43,"Woman","West Midlands","Remain","University or CNAA higher degree (e.g. M.Sc, Ph.D)","Working full time (30 or more hours per week)","Professional or higher technical work / higher managerial - work that requires at least degree-level qualifications (e.g","Very negative effect","Somewhat negative effect","Very badly",2,"a Remainer"
47,"Man","North West","Remain","University or CNAA higher degree (e.g. M.Sc, Ph.D)","Working full time (30 or more hours per week)","Clerical/junior managerial/professional/administrator (e.g. office worker, student doctor, sales person, clerk, secretar","Very negative effect","Very negative effect","Don't know",4,"a Remainer"
53,"Man","East Midlands","Leave","CSE grades 2-5","Full time student","Skilled Manual Work (e.g. plumber, electrician, fitter)","Very positive effect","Very positive effect","Fairly well",6,"a Leaver"
51,"Man","East Midlands","Leave","City & Guilds certificate","Working full time (30 or more hours per week)","Clerical/junior managerial/professional/administrator (e.g. office worker, student doctor, sales person, clerk, secretar","Somewhat positive effect","Neither positive nor negative","Fairly well",6,"a Leaver"
54,"Man","Scotland","Leave","City & Guilds certificate - advanced","Not working","Skilled Manual Work (e.g. plumber, electrician, fitter)","Somewhat positive effect","Somewhat positive effect","Fairly well",10,"Neither a Leaver nor a Remainer"
73,"Man","South East","Leave","No formal qualifications","Retired","Other","Very positive effect","Neither positive nor negative","Fairly well",7,"a Leaver"
73,"Man","East of England","Leave","University or CNAA higher degree (e.g. M.Sc, Ph.D)","Retired","Professional or higher technical work / higher managerial - work that requires at least degree-level qualifications (e.g","Somewhat positive effect","Neither positive nor negative","Fairly badly",7,"a Remainer"
32,"Woman","South East","Leave","City & Guilds certificate","Not working","Sales or Services (e.g. commercial traveller, shop assistant, nursery nurse, care assistant, paramedic)","Neither positive nor negative","Neither positive nor negative","Fairly badly",8,"a Leaver"
72,"Woman","Scotland","Remain","Teaching qualification (not degree)","Retired","Professional or higher technical work / higher managerial - work that requires at least degree-level qualifications (e.g","Somewhat negative effect","Somewhat negative effect","Very badly",5,"a Remainer"
70,"Man","South East","Leave","No formal qualifications","Retired","Clerical/junior managerial/professional/administrator (e.g. office worker, student doctor, sales person, clerk, secretar","Somewhat positive effect","Somewhat positive effect","Fairly well",7,"a Leaver"
76,"Woman","Wales","Leave","CSE grade 1, GCE O level, GCSE, School Certificate","Retired","Manager or Senior Administrator / intermediate managerial / professional (e.g. company director, finance manager, person","Very positive effect","Very positive effect","Very well",9,"a Leaver"
72,"Man","North East","Remain","University or CNAA higher degree (e.g. M.Sc, Ph.D)","Retired","Professional or higher technical work / higher managerial - work that requires at least degree-level qualifications (e.g","Neither positive nor negative","Neither positive nor negative","Very badly",5,"a Remainer"
61,"Man","South East","Cannot remember","University or CNAA first degree (e.g. BA, B.Sc, B.Ed)","Not working","Clerical/junior managerial/professional/administrator (e.g. office worker, student doctor, sales person, clerk, secretar","Very positive effect","Very positive effect","Fairly well",5,"a Leaver"
70,"Man","East of England","Leave","Prefer not to say","Retired","Skilled Manual Work (e.g. plumber, electrician, fitter)","Very positive effect","Somewhat positive effect","Very well",5,"a Leaver"
71,"Woman","West Midlands","Remain","No formal qualifications","Working part time (8-29 hours a week)","Clerical/junior managerial/professional/administrator (e.g. office worker, student doctor, sales person, clerk, secretar","Very negative effect","Somewhat negative effect","Very badly",0,"a Remainer"
68,"Man","South West","Leave","ONC","Retired","Skilled Manual Work (e.g. plumber, electrician, fitter)","Very positive effect","Somewhat positive effect","Fairly well",9,"a Leaver"
70,"Woman","West Midlands","Leave","Clerical and commercial","Retired","Clerical/junior managerial/professional/administrator (e.g. office worker, student doctor, sales person, clerk, secretar","Somewhat positive effect","Somewhat positive effect","Fairly well",10,"a Leaver"
74,"Woman","North West","Remain","Other technical, professional or higher qualification","Retired","Clerical/junior managerial/professional/administrator (e.g. office worker, student doctor, sales person, clerk, secretar","Very negative effect","Somewhat negative effect","Very badly",5,"a Remainer"
82,"Man","South East","Leave","ONC","Retired","Clerical/junior managerial/professional/administrator (e.g. office worker, student doctor, sales person, clerk, secretar","Very positive effect","Very positive effect","Very well",4,"a Leaver"
47,"Man","West Midlands","Leave","City & Guilds certificate - advanced","Working full time (30 or more hours per week)","Clerical/junior managerial/professional/administrator (e.g. office worker, student doctor, sales person, clerk, secretar","Somewhat positive effect","Neither positive nor negative","Fairly well",5,"Neither a Leaver nor a Remainer"
51,"Man","South East","Remain","City & Guilds certificate","Working full time (30 or more hours per week)","Skilled Manual Work (e.g. plumber, electrician, fitter)","Very negative effect","Somewhat negative effect","Very badly",0,"a Remainer"
70,"Woman","East of England","Leave","University or CNAA first degree (e.g. BA, B.Sc, B.Ed)","Retired","Clerical/junior managerial/professional/administrator (e.g. office worker, student doctor, sales person, clerk, secretar","Very positive effect","Very positive effect","Fairly well",9,"a Leaver"
72,"Man","Scotland","Leave","Other technical, professional or higher qualification","Retired","Skilled Manual Work (e.g. plumber, electrician, fitter)","Very positive effect","Somewhat positive effect","Very well",7,"a Leaver"
47,"Woman","East of England","Remain","University or CNAA first degree (e.g. BA, B.Sc, B.Ed)","Working part time (8-29 hours a week)","Professional or higher technical work / higher managerial - work that requires at least degree-level qualifications (e.g","Somewhat negative effect","Neither positive nor negative","Fairly badly",5,"a Remainer"
62,"Woman","South East","Leave","City & Guilds certificate","Working full time (30 or more hours per week)","Clerical/junior managerial/professional/administrator (e.g. office worker, student doctor, sales person, clerk, secretar","Very positive effect","Very positive effect","Very well",4,"a Leaver"
66,"Man","North West","Did not vote","CSE grade 1, GCE O level, GCSE, School Certificate","Working full time (30 or more hours per week)","Skilled Manual Work (e.g. plumber, electrician, fitter)","Somewhat positive effect","Neither positive nor negative","Don't know",7,"Neither a Leaver nor a Remainer"
85,"Woman","Yorkshire and the Humber","Leave","University or CNAA higher degree (e.g. M.Sc, Ph.D)","Retired","Professional or higher technical work / higher managerial - work that requires at least degree-level qualifications (e.g","Very positive effect","Very positive effect","Fairly well",8,"a Leaver"
39,"Man","North West","Cannot remember","Teaching qualification (not degree)","Working full time (30 or more hours per week)","Clerical/junior managerial/professional/administrator (e.g. office worker, student doctor, sales person, clerk, secretar","Somewhat negative effect","Neither positive nor negative","Fairly badly",5,"a Remainer"
68,"Man","West Midlands","Leave","University or CNAA higher degree (e.g. M.Sc, Ph.D)","Retired","Professional or higher technical work / higher managerial - work that requires at least degree-level qualifications (e.g","Very positive effect","Somewhat positive effect","Don't know",3,"a Leaver"
68,"Man","East Midlands","Leave","City & Guilds certificate - advanced","Retired","Other","Very positive effect","Very positive effect","Very well",10,"a Leaver"
70,"Man","East of England","Leave","University diploma","Retired","Professional or higher technical work / higher managerial - work that requires at least degree-level qualifications (e.g","Very positive effect","Very positive effect","Fairly well",4,"a Leaver"
67,"Man","West Midlands","Leave","CSE grade 1, GCE O level, GCSE, School Certificate","Retired","Manager or Senior Administrator / intermediate managerial / professional (e.g. company director, finance manager, person","Somewhat positive effect","Neither positive nor negative","Fairly well",7,"a Leaver"
63,"Man","Yorkshire and the Humber","Remain","Other technical, professional or higher qualification","Working part time (8-29 hours a week)","Sales or Services (e.g. commercial traveller, shop assistant, nursery nurse, care assistant, paramedic)","Somewhat negative effect","Neither positive nor negative","Fairly badly",3,"a Remainer"
60,"Man","South East","Leave","CSE grades 2-5","Not working","Semi-Skilled or Unskilled Manual Work (e.g. machine operator, assembler, postman, waitress, cleaner, labourer, driver, b","Don't know","Don't know","Don't know",5,"Neither a Leaver nor a Remainer"
56,"Man","East Midlands","Remain","Other technical, professional or higher qualification","Working part time (8-29 hours a week)","Clerical/junior managerial/professional/administrator (e.g. office worker, student doctor, sales person, clerk, secretar","Somewhat positive effect","Neither positive nor negative","Don't know",2,"a Remainer"
71,"Man","South West","Remain","City & Guilds certificate - advanced","Retired","Manager or Senior Administrator / intermediate managerial / professional (e.g. company director, finance manager, person","Very negative effect","Somewhat negative effect","Very badly",0,"a Remainer"
41,"Woman","Scotland","Remain","Other technical, professional or higher qualification","Working full time (30 or more hours per week)","Professional or higher technical work / higher managerial - work that requires at least degree-level qualifications (e.g","Don't know","Don't know","Fairly badly",2,"Neither a Leaver nor a Remainer"
36,"Man","East of England","Leave","University or CNAA higher degree (e.g. M.Sc, Ph.D)","Working full time (30 or more hours per week)","Manager or Senior Administrator / intermediate managerial / professional (e.g. company director, finance manager, person","Very positive effect","Somewhat positive effect","Fairly well",6,"a Leaver"
66,"Man","Scotland","Remain","Recognised trade apprenticeship completed","Retired","Clerical/junior managerial/professional/administrator (e.g. office worker, student doctor, sales person, clerk, secretar","Somewhat negative effect","Neither positive nor negative","Fairly badly",0,"a Remainer"
58,"Man","South East","Leave","Clerical and commercial","Working full time (30 or more hours per week)","Clerical/junior managerial/professional/administrator (e.g. office worker, student doctor, sales person, clerk, secretar","Somewhat positive effect","Somewhat positive effect","Very well",2,"a Leaver"
58,"Woman","North West","Did not vote","University diploma","Retired","Professional or higher technical work / higher managerial - work that requires at least degree-level qualifications (e.g","Very positive effect","Neither positive nor negative","Fairly well",5,"a Leaver"
51,"Woman","South West","Leave","Don't know","Unemployed","Sales or Services (e.g. commercial traveller, shop assistant, nursery nurse, care assistant, paramedic)","Don't know","Don't know","Very badly",5,"a Leaver"
46,"Woman","East Midlands","Leave","University or CNAA first degree (e.g. BA, B.Sc, B.Ed)","Working full time (30 or more hours per week)","Semi-Skilled or Unskilled Manual Work (e.g. machine operator, assembler, postman, waitress, cleaner, labourer, driver, b","Neither positive nor negative","Neither positive nor negative","Very badly",10,"a Leaver"
38,"Man","London","Remain","University or CNAA first degree (e.g. BA, B.Sc, B.Ed)","Working full time (30 or more hours per week)","Professional or higher technical work / higher managerial - work that requires at least degree-level qualifications (e.g","Very negative effect","Very negative effect","Very badly",0,"a Remainer"
49,"Man","East Midlands","Leave","University or CNAA higher degree (e.g. M.Sc, Ph.D)","Working full time (30 or more hours per week)","Manager or Senior Administrator / intermediate managerial / professional (e.g. company director, finance manager, person","Somewhat negative effect","Somewhat positive effect","Fairly well",3,"a Leaver"
43,"Man","South East","Remain","University or CNAA first degree (e.g. BA, B.Sc, B.Ed)","Working full time (30 or more hours per week)","Professional or higher technical work / higher managerial - work that requires at least degree-level qualifications (e.g","Somewhat negative effect","Somewhat negative effect","Very badly",6,"a Remainer"
73,"Woman","North West","Cannot remember","Other technical, professional or higher qualification","Retired","Manager or Senior Administrator / intermediate managerial / professional (e.g. company director, finance manager, person","Very negative effect","Somewhat negative effect","Fairly badly",7,"a Remainer"
88,"Man","Yorkshire and the Humber","Leave","Other technical, professional or higher qualification","Retired","Manager or Senior Administrator / intermediate managerial / professional (e.g. company director, finance manager, person","Very positive effect","Neither positive nor negative","Very well",4,"a Leaver"
37,"Man","South West","Remain","University or CNAA higher degree (e.g. M.Sc, Ph.D)","Working full time (30 or more hours per week)","Manager or Senior Administrator / intermediate managerial / professional (e.g. company director, finance manager, person","Very negative effect","Very negative effect","Very badly",0,"a Remainer"
44,"Man","London","Cannot remember","University or CNAA higher degree (e.g. M.Sc, Ph.D)","Working full time (30 or more hours per week)","Professional or higher technical work / higher managerial - work that requires at least degree-level qualifications (e.g","Neither positive nor negative","Neither positive nor negative","Fairly well",1,"Neither a Leaver nor a Remainer"
35,"Man","West Midlands","Remain","University or CNAA first degree (e.g. BA, B.Sc, B.Ed)","Working full time (30 or more hours per week)","Professional or higher technical work / higher managerial - work that requires at least degree-level qualifications (e.g","Somewhat negative effect","Neither positive nor negative","Don't know",3,"a Remainer"
57,"Man","London","Remain","GCE A level or Higher Certificate","Unemployed","Other","Somewhat negative effect","Somewhat negative effect","Don't know",3,"a Remainer"
63,"Woman","South East","Leave","No formal qualifications","Not working","Semi-Skilled or Unskilled Manual Work (e.g. machine operator, assembler, postman, waitress, cleaner, labourer, driver, b","Somewhat positive effect","Somewhat positive effect","Don't know",5,"a Leaver"
72,"Woman","South East","Leave","CSE grade 1, GCE O level, GCSE, School Certificate","Retired","Clerical/junior managerial/professional/administrator (e.g. office worker, student doctor, sales person, clerk, secretar","Very positive effect","Somewhat positive effect","Fairly well",6,"a Leaver"
37,"Woman","London","Remain","University or CNAA first degree (e.g. BA, B.Sc, B.Ed)","Working part time (8-29 hours a week)","Clerical/junior managerial/professional/administrator (e.g. office worker, student doctor, sales person, clerk, secretar","Somewhat negative effect","Somewhat negative effect","Fairly badly",5,"a Remainer"
75,"Woman","South East","Leave","Nursing qualification (e.g. SEN, SRN, SCM, RGN)","Retired","Clerical/junior managerial/professional/administrator (e.g. office worker, student doctor, sales person, clerk, secretar","Very positive effect","Don't know","Very well",2,"a Leaver"
41,"Woman","London","Remain","Other technical, professional or higher qualification","Working part time (8-29 hours a week)","Professional or higher technical work / higher managerial - work that requires at least degree-level qualifications (e.g","Somewhat positive effect","Somewhat positive effect","Very well",10,"a Leaver"
63,"Man","North West","Remain","CSE grade 1, GCE O level, GCSE, School Certificate","Working full time (30 or more hours per week)","Semi-Skilled or Unskilled Manual Work (e.g. machine operator, assembler, postman, waitress, cleaner, labourer, driver, b","Very negative effect","Very negative effect","Very badly",2,"a Remainer"
45,"Woman","North West","Leave","University or CNAA first degree (e.g. BA, B.Sc, B.Ed)","Unemployed","Professional or higher technical work / higher managerial - work that requires at least degree-level qualifications (e.g","Somewhat positive effect","Don't know","Very well",5,"a Leaver"
83,"Man","North West","Leave","Recognised trade apprenticeship completed","Retired","Skilled Manual Work (e.g. plumber, electrician, fitter)","Neither positive nor negative","Neither positive nor negative","Very badly",0,"a Leaver"
69,"Woman","South East","Leave","GCE A level or Higher Certificate","Retired","Clerical/junior managerial/professional/administrator (e.g. office worker, student doctor, sales person, clerk, secretar","Very positive effect","Very positive effect","Fairly well",10,"a Leaver"
73,"Woman","London","Leave","No formal qualifications","Retired","Clerical/junior managerial/professional/administrator (e.g. office worker, student doctor, sales person, clerk, secretar","Somewhat negative effect","Neither positive nor negative","Very well",6,"a Leaver"
41,"Woman","South West","Leave","CSE grade 1, GCE O level, GCSE, School Certificate","Working part time (8-29 hours a week)","Clerical/junior managerial/professional/administrator (e.g. office worker, student doctor, sales person, clerk, secretar","Somewhat positive effect","Don't know","Don't know",5,"a Leaver"
70,"Woman","West Midlands","Leave","University or CNAA first degree (e.g. BA, B.Sc, B.Ed)","Retired","Manager or Senior Administrator / intermediate managerial / professional (e.g. company director, finance manager, person","Very positive effect","Neither positive nor negative","Fairly well",10,"a Leaver"
64,"Man","East of England","Leave","No formal qualifications","Working full time (30 or more hours per week)","Skilled Manual Work (e.g. plumber, electrician, fitter)","Somewhat positive effect","Somewhat positive effect","Fairly well",7,"a Leaver"
53,"Man","Yorkshire and the Humber","Leave","GCE A level or Higher Certificate","Working full time (30 or more hours per week)","Manager or Senior Administrator / intermediate managerial / professional (e.g. company director, finance manager, person","Somewhat positive effect","Somewhat positive effect","Very well",10,"a Leaver"
55,"Woman","East of England","Leave","Other technical, professional or higher qualification","Working full time (30 or more hours per week)","Manager or Senior Administrator / intermediate managerial / professional (e.g. company director, finance manager, person","Somewhat positive effect","Somewhat positive effect","Fairly well",4,"a Leaver"
40,"Woman","West Midlands","Remain","University or CNAA first degree (e.g. BA, B.Sc, B.Ed)","Full time student","Clerical/junior managerial/professional/administrator (e.g. office worker, student doctor, sales person, clerk, secretar","Somewhat negative effect","Neither positive nor negative","Very badly",5,"a Remainer"
51,"Woman","South East","Leave","CSE grade 1, GCE O level, GCSE, School Certificate","Working full time (30 or more hours per week)","Manager or Senior Administrator / intermediate managerial / professional (e.g. company director, finance manager, person","Very positive effect","Very positive effect","Fairly well",10,"a Leaver"
73,"Woman","London","Leave","University or CNAA first degree (e.g. BA, B.Sc, B.Ed)","Retired","Other","Very positive effect","Don't know","Don't know",2,"a Leaver"
