age,sex,region,GEvote2015,EURef2016,political_attention,profile_gross_personal,profile_gross_household,education_age,education_level,socialgradeCIE1,work_stat,work_organisation,work_type,Hindsight,Poscountry,Posind,newspaper_readership,Govthand,Tradeimmig,BrexitID
51,"Man","London","Liberal Democrat","Remain",10,"£35,000 to £39,999 per year","£35,000 to £39,999 per year","20+","No formal qualifications","C2","Working full time (30 or more hours per week)","Private sector firm or company (e.g. limited companies and Plcs)","Clerical/junior managerial/professional/administrator (e.g. office worker, student doctor, sales person, clerk, secretar","Wrong","Neither positive nor negative","Neither positive nor negative","Other Newspaper","Don't know",8,"Neither a Leaver nor a Remainer"
68,"Woman","South West","Conservative","Leave",6,"£5,000 to £9,999 per year","£5,000 to £9,999 per year","17-18","Clerical and commercial","E","Retired","Other public sector employer (e.g. Central Government)","Clerical/junior managerial/professional/administrator (e.g. office worker, student doctor, sales person, clerk, secretar","Right","Very positive effect","Very positive effect","The Daily Mail / The Scottish Daily Mail","Fairly well",10,"a Leaver"
56,"Man","Scotland","SNP","Remain",7,"£20,000 to £24,999 per year","£40,000 to £44,999 per year","17-18","CSE grade 1, GCE O level, GCSE, School Certificate","C2","Working full time (30 or more hours per week)","Private sector firm or company (e.g. limited companies and Plcs)","Skilled Manual Work (e.g. plumber, electrician, fitter)","Wrong","Very negative effect","Somewhat negative effect","The Herald (Glasgow)","Very badly",2,"a Remainer"
48,"Woman","North East","Labour","Leave",10,"£40,000 to £44,999 per year","£70,000 to £99,999 per year","16","University or CNAA first degree (e.g. BA, B.Sc, B.Ed)","AB","Working full time (30 or more hours per week)","Nationalised industry or public corporation (e.g. Post Office)","Manager or Senior Administrator / intermediate managerial / professional (e.g. company director, finance manager, person","Right","Very positive effect","Somewhat positive effect","None","Very well",6,"a Leaver"
63,"Man","South East","Conservative","Cannot remember",6,"£30,000 to £34,999 per year","£30,000 to £34,999 per year","20+","Teaching qualification (not degree)","C2","Retired","Other public sector employer (e.g. Central Government)","Professional or higher technical work / higher managerial - work that requires at least degree-level qualifications (e.g","Don’t know","Don't know","Don't know","The Daily Telegraph","Don't know",3,"Neither a Leaver nor a Remainer"
66,"Man","North West","Labour","Remain",7,"£15,000 to £19,999 per year","£25,000 to £29,999 per year","16","Don't know","C1","Working part time (Less than 8 hours a week)","Private sector firm or company (e.g. limited companies and Plcs)","Manager or Senior Administrator / intermediate managerial / professional (e.g. company director, finance manager, person","Wrong","Somewhat negative effect","Very negative effect","The Guardian","Fairly badly",1,"a Remainer"
46,"Woman","North East","Green","Remain",7,"£40,000 to £44,999 per year","£5,000 to £9,999 per year","20+","University or CNAA first degree (e.g. BA, B.Sc, B.Ed)","AB","Working full time (30 or more hours per week)","Nationalised industry or public corporation (e.g. Post Office)","Professional or higher technical work / higher managerial - work that requires at least degree-level qualifications (e.g","Wrong","Somewhat negative effect","Don't know","None","Fairly well",2,"a Remainer"
58,"Woman","Yorkshire and the Humber","Labour","Remain",8,"£10,000 to £14,999 per year","£10,000 to £14,999 per year","17-18","Other technical, professional or higher qualification","C1","Working full time (30 or more hours per week)","Nationalised industry or public corporation (e.g. Post Office)","Sales or Services (e.g. commercial traveller, shop assistant, nursery nurse, care assistant, paramedic)","Wrong","Somewhat negative effect","Neither positive nor negative","Other local daily morning newspaper","Very badly",7,"Neither a Leaver nor a Remainer"
54,"Woman","London","DK or did not vote","Did not vote",6,"£15,000 to £19,999 per year","£15,000 to £19,999 per year","19","GCE A level or Higher Certificate","C1","Working full time (30 or more hours per week)","Private sector firm or company (e.g. limited companies and Plcs)","Clerical/junior managerial/professional/administrator (e.g. office worker, student doctor, sales person, clerk, secretar","Wrong","Very negative effect","Very negative effect","Other Newspaper","Very badly",0,"a Remainer"
60,"Woman","Scotland","SNP","Remain",6,"£15,000 to £19,999 per year","£15,000 to £19,999 per year","15 or under","University diploma","C1","Working full time (30 or more hours per week)","Private sector firm or company (e.g. limited companies and Plcs)","Clerical/junior managerial/professional/administrator (e.g. office worker, student doctor, sales person, clerk, secretar","Wrong","Somewhat negative effect","Somewhat negative effect","None","Don't know",5,"Neither a Leaver nor a Remainer"
45,"Woman","London","Labour","Remain",9,"£50,000 to £59,999 per year","£45,000 to £49,999 per year","20+","Teaching qualification (not degree)","AB","Working full time (30 or more hours per week)","Nationalised industry or public corporation (e.g. Post Office)","Professional or higher technical work / higher managerial - work that requires at least degree-level qualifications (e.g","Wrong","Very negative effect","Somewhat negative effect","The Guardian","Very badly",0,"Neither a Leaver nor a Remainer"
68,"Man","East Midlands","UKIP","Leave",5,"£10,000 to £14,999 per year","£10,000 to £14,999 per year","15 or under","CSE grade 1, GCE O level, GCSE, School Certificate","E","Retired","Self-employed","Skilled Manual Work (e.g. plumber, electrician, fitter)","Right","Very positive effect","Somewhat positive effect","None","Fairly badly",10,"a Leaver"
50,"Woman","Yorkshire and the Humber","Labour","Remain",6,"£25,000 to £29,999 per year","£25,000 to £29,999 per year","20+","University diploma","D","Working part time (8-29 hours a week)","Private sector firm or company (e.g. limited companies and Plcs)","Semi-Skilled or Unskilled Manual Work (e.g. machine operator, assembler, postman, waitress, cleaner, labourer, driver, b","Wrong","Don't know","Don't know","The Daily Mail / The Scottish Daily Mail","Don't know",5,"a Remainer"
67,"Man","Yorkshire and the Humber","UKIP","Leave",4,"Prefer not to answer","Prefer not to answer","20+","Recognised trade apprenticeship completed","C2","Retired","Other","Skilled Manual Work (e.g. plumber, electrician, fitter)","Right","Somewhat positive effect","Neither positive nor negative","The Mirror / Daily Record","Fairly well",10,"Neither a Leaver nor a Remainer"
45,"Woman","South East","Conservative","Remain",6,"£10,000 to £14,999 per year","£45,000 to £49,999 per year","20+","GCE A level or Higher Certificate","AB","Working part time (8-29 hours a week)","Other public sector employer (e.g. Central Government)","Manager or Senior Administrator / intermediate managerial / professional (e.g. company director, finance manager, person","Wrong","Neither positive nor negative","Neither positive nor negative","The Daily Mail / The Scottish Daily Mail","Fairly badly",7,"a Remainer"
88,"Woman","West Midlands","Liberal Democrat","Leave",6,"£25,000 to £29,999 per year","£25,000 to £29,999 per year","15 or under","University or CNAA first degree (e.g. BA, B.Sc, B.Ed)","C1","Retired","Private sector firm or company (e.g. limited companies and Plcs)","Clerical/junior managerial/professional/administrator (e.g. office worker, student doctor, sales person, clerk, secretar","Right","Very positive effect","Neither positive nor negative","None","Very badly",7,"a Leaver"
67,"Man","Scotland","UKIP","Leave",7,"£25,000 to £29,999 per year","£25,000 to £29,999 per year","15 or under","Recognised trade apprenticeship completed","C2","Retired","Nationalised industry or public corporation (e.g. Post Office)","Other","Right","Somewhat positive effect","Very positive effect","The Mirror / Daily Record","Don't know",10,"a Leaver"
45,"Man","London","Labour","Leave",5,"£10,000 to £14,999 per year","£10,000 to £14,999 per year","16","City & Guilds certificate","E","Not working","Other public sector employer (e.g. Central Government)","Skilled Manual Work (e.g. plumber, electrician, fitter)","Don’t know","Neither positive nor negative","Don't know","None","Very badly",5,"Neither a Leaver nor a Remainer"
67,"Man","East of England","Labour","Remain",4,"£10,000 to £14,999 per year","£15,000 to £19,999 per year","15 or under","City & Guilds certificate","C2","Retired","Nationalised industry or public corporation (e.g. Post Office)","Manager or Senior Administrator / intermediate managerial / professional (e.g. company director, finance manager, person","Wrong","Very negative effect","Very negative effect","None","Very badly",8,"a Remainer"
64,"Woman","South East","UKIP","Leave",5,"£5,000 to £9,999 per year","£5,000 to £9,999 per year","16","CSE grade 1, GCE O level, GCSE, School Certificate","C2","Retired","Other","Other","Right","Very positive effect","Somewhat positive effect","None","Fairly well",5,"a Leaver"
72,"Man","Yorkshire and the Humber","DK or did not vote","Did not vote",2,"£15,000 to £19,999 per year","£15,000 to £19,999 per year","17-18","CSE grade 1, GCE O level, GCSE, School Certificate","C2","Retired","Private sector firm or company (e.g. limited companies and Plcs)","Skilled Manual Work (e.g. plumber, electrician, fitter)","Don’t know","Neither positive nor negative","Don't know","None","Fairly well",8,"Neither a Leaver nor a Remainer"
78,"Man","Scotland","Conservative","Remain",6,"£15,000 to £19,999 per year","£15,000 to £19,999 per year","17-18","GCE A level or Higher Certificate","E","Retired","Private sector firm or company (e.g. limited companies and Plcs)","Clerical/junior managerial/professional/administrator (e.g. office worker, student doctor, sales person, clerk, secretar","Wrong","Somewhat negative effect","Neither positive nor negative","None","Fairly well",5,"a Remainer"
29,"Woman","East Midlands","Labour","Leave",1,"Prefer not to answer","Prefer not to answer","20+","University or CNAA first degree (e.g. BA, B.Sc, B.Ed)","C1","Working full time (30 or more hours per week)","Private sector firm or company (e.g. limited companies and Plcs)","Clerical/junior managerial/professional/administrator (e.g. office worker, student doctor, sales person, clerk, secretar","Right","Somewhat positive effect","Neither positive nor negative","None","Fairly well",6,"a Remainer"
67,"Man","South West","Liberal Democrat","Remain",9,"£25,000 to £29,999 per year","£45,000 to £49,999 per year","20+","University or CNAA first degree (e.g. BA, B.Sc, B.Ed)","AB","Retired","Other","Professional or higher technical work / higher managerial - work that requires at least degree-level qualifications (e.g","Wrong","Very negative effect","Somewhat negative effect","The Independent","Very badly",1,"a Remainer"
64,"Man","North West","Conservative","Leave",0,"£30,000 to £34,999 per year","£25,000 to £29,999 per year","17-18","City & Guilds certificate","C2","Working full time (30 or more hours per week)","Private sector firm or company (e.g. limited companies and Plcs)","Professional or higher technical work / higher managerial - work that requires at least degree-level qualifications (e.g","Right","Very positive effect","Neither positive nor negative","The Sun","Fairly well",0,"a Leaver"
66,"Woman","Yorkshire and the Humber","Labour","Cannot remember",3,"£5,000 to £9,999 per year","£10,000 to £14,999 per year","16","Clerical and commercial","E","Retired","Private sector firm or company (e.g. limited companies and Plcs)","Clerical/junior managerial/professional/administrator (e.g. office worker, student doctor, sales person, clerk, secretar","Don’t know","Don't know","Don't know","None","Don't know",3,"Neither a Leaver nor a Remainer"
65,"Woman","East of England","UKIP","Remain",5,"£5,000 to £9,999 per year","£60,000 to £69,999 per year","15 or under","CSE grade 1, GCE O level, GCSE, School Certificate","AB","Retired","Other","Clerical/junior managerial/professional/administrator (e.g. office worker, student doctor, sales person, clerk, secretar","Wrong","Somewhat negative effect","Somewhat negative effect","None","Don't know",5,"a Remainer"
68,"Man","East Midlands","UKIP","Leave",8,"Prefer not to answer","Prefer not to answer","15 or under","Other technical, professional or higher qualification","C1","Retired","Other public sector employer (e.g. Central Government)","Other","Right","Neither positive nor negative","Neither positive nor negative","None","Don't know",9,"a Leaver"
