age,sex,region,GEvote2015,EURef2016,political_attention,newspaper_readership,profile_gross_personal,profile_gross_household,education_age,education_level,socialgradeCIE2,work_stat,work_organisation,work_type,Hindsight,Poscountry,Posind,Govthand,Tradeimmig,BrexitID
69,"Man","North West","Labour","Leave",3,"The Times","£20,000 to £24,999 per year","Not Asked or missing","15 or under","Clerical and commercial","C1","Retired","Private sector firm or company (e.g. limited companies and Plcs)","Clerical/junior managerial/professional/administrator (e.g. office worker, student doctor, sales person, clerk, secretar","Right","Neither positive nor negative","Neither positive nor negative","Very badly",6,"a Leaver"
69,"Man","Yorkshire and the Humber","Conservative","Remain",4,"None","£25,000 to £29,999 per year","Not Asked or missing","15 or under","Other technical, professional or higher qualification","C1","Retired","Other public sector employer (e.g. Central Government)","Other","Right","Very positive effect","Somewhat positive effect","Fairly well",10,"a Leaver"
84,"Man","East Midlands","Labour","Remain",7,"The Guardian","£50,000 to £59,999 per year","Not Asked or missing","20+","Other technical, professional or higher qualification","A","Retired","Self-employed","Professional or higher technical work / higher managerial - work that requires at least degree-level qualifications (e.g","Wrong","Somewhat negative effect","Neither positive nor negative","Very badly",5,"a Leaver"
39,"Man","London","Labour","Remain",8,"The Daily Mail / The Scottish Daily Mail","£35,000 to £39,999 per year","Not Asked or missing","20+","University or CNAA first degree (e.g. BA, B.Sc, B.Ed)","C1","Working full time (30 or more hours per week)","Nationalised industry or public corporation (e.g. Post Office)","Professional or higher technical work / higher managerial - work that requires at least degree-level qualifications (e.g","Wrong","Somewhat negative effect","Somewhat negative effect","Fairly badly",1,"a Remainer"
56,"Woman","London","DK or did not vote","Did not vote",6,"The Times","£5,000 to £9,999 per year","Not Asked or missing","19","GCE A level or Higher Certificate","C2","Other","Other","Clerical/junior managerial/professional/administrator (e.g. office worker, student doctor, sales person, clerk, secretar","Wrong","Very negative effect","Very negative effect","Very badly",5,"a Remainer"
67,"Woman","South East","DK or did not vote","Leave",2,"The Independent","£40,000 to £44,999 per year","Not Asked or missing","16","CSE grade 1, GCE O level, GCSE, School Certificate","C1","Retired","Private sector firm or company (e.g. limited companies and Plcs)","Professional or higher technical work / higher managerial - work that requires at least degree-level qualifications (e.g","Right","Very positive effect","Very positive effect","Very badly",8,"a Leaver"
77,"Woman","East Midlands","Conservative","Leave",3,"Other Newspaper","£20,000 to £24,999 per year","Not Asked or missing","16","CSE grade 1, GCE O level, GCSE, School Certificate","B","Retired","Self-employed","Other","Don’t know","Somewhat negative effect","Somewhat negative effect","Fairly badly",10,"Neither a Leaver nor a Remainer"
73,"Man","West Midlands","Conservative","Remain",8,"None","£20,000 to £24,999 per year","Not Asked or missing","15 or under","Recognised trade apprenticeship completed","C2","Retired","Other","Skilled Manual Work (e.g. plumber, electrician, fitter)","Don’t know","Neither positive nor negative","Somewhat negative effect","Fairly well",2,"Neither a Leaver nor a Remainer"
69,"Man","Scotland","Other","Leave",7,"The Guardian","£25,000 to £29,999 per year","Not Asked or missing","15 or under","Recognised trade apprenticeship completed","C2","Retired","Nationalised industry or public corporation (e.g. Post Office)","Sales or Services (e.g. commercial traveller, shop assistant, nursery nurse, care assistant, paramedic)","Right","Somewhat positive effect","Somewhat positive effect","Very badly",6,"a Leaver"
40,"Man","North East","Conservative","Remain",2,"The Daily Mail / The Scottish Daily Mail","£30,000 to £34,999 per year","Not Asked or missing","17-18","GCE A level or Higher Certificate","C1","Working full time (30 or more hours per week)","Other public sector employer (e.g. Central Government)","Manager or Senior Administrator / intermediate managerial / professional (e.g. company director, finance manager, person","Wrong","Very negative effect","Somewhat negative effect","Very badly",6,"a Remainer"
72,"Woman","South West","Labour","Remain",9,"None","£10,000 to £14,999 per year","Not Asked or missing","16","Clerical and commercial","E","Retired","Private sector firm or company (e.g. limited companies and Plcs)","Clerical/junior managerial/professional/administrator (e.g. office worker, student doctor, sales person, clerk, secretar","Wrong","Very negative effect","Don't know","Very badly",2,"a Remainer"
69,"Woman","South West","Labour","Remain",0,"The Guardian","Prefer not to answer","Not Asked or missing","20+","University or CNAA first degree (e.g. BA, B.Sc, B.Ed)","C1","Retired","Other public sector employer (e.g. Central Government)","Professional or higher technical work / higher managerial - work that requires at least degree-level qualifications (e.g","Wrong","Very negative effect","Somewhat negative effect","Very badly",5,"a Remainer"
36,"Woman","Yorkshire and the Humber","DK or did not vote","Remain",1,"The Daily Mail / The Scottish Daily Mail","£15,000 to £19,999 per year","Not Asked or missing","20+","University or CNAA first degree (e.g. BA, B.Sc, B.Ed)","C1","Working part time (8-29 hours a week)","Private sector firm or company (e.g. limited companies and Plcs)","Clerical/junior managerial/professional/administrator (e.g. office worker, student doctor, sales person, clerk, secretar","Wrong","Somewhat negative effect","Somewhat negative effect","Very badly",2,"a Remainer"
70,"Woman","Yorkshire and the Humber","Labour","Leave",9,"The Times","Prefer not to answer","Not Asked or missing","15 or under","Don't know","C2","Retired","Private sector firm or company (e.g. limited companies and Plcs)","Sales or Services (e.g. commercial traveller, shop assistant, nursery nurse, care assistant, paramedic)","Right","Very positive effect","Somewhat positive effect","Fairly well",10,"a Leaver"
67,"Woman","South East","Other","Leave",6,"The Independent","£5,000 to £9,999 per year","Not Asked or missing","15 or under","City & Guilds certificate","E","Retired","Other public sector employer (e.g. Central Government)","Skilled Manual Work (e.g. plumber, electrician, fitter)","Right","Very positive effect","Very positive effect","Don't know",10,"a Leaver"
47,"Man","Scotland","Labour","Leave",0,"Other Newspaper","£100,000 and over","Not Asked or missing","20+","University or CNAA higher degree (e.g. M.Sc, Ph.D)","C2","Working full time (30 or more hours per week)","Self-employed","Manager or Senior Administrator / intermediate managerial / professional (e.g. company director, finance manager, person","Right","Somewhat positive effect","Somewhat positive effect","Very badly",8,"a Leaver"
34,"Man","Wales","Conservative","Leave",8,"None","Don't know","Not Asked or missing","20+","University or CNAA first degree (e.g. BA, B.Sc, B.Ed)","C1","Working part time (8-29 hours a week)","Self-employed","Other","Right","Neither positive nor negative","Neither positive nor negative","Fairly badly",3,"a Leaver"
67,"Woman","South West","Liberal Democrat","Did not vote",7,"The Guardian","Prefer not to answer","Not Asked or missing","15 or under","City & Guilds certificate","E","Retired","Other","Other","Wrong","Somewhat negative effect","Don't know","Fairly badly",5,"a Remainer"
52,"Man","South East","DK or did not vote","Remain",6,"The Daily Mail / The Scottish Daily Mail","Prefer not to answer","Not Asked or missing","19","GCE A level or Higher Certificate","C2","Working full time (30 or more hours per week)","Private sector firm or company (e.g. limited companies and Plcs)","Professional or higher technical work / higher managerial - work that requires at least degree-level qualifications (e.g","Wrong","Very negative effect","Very negative effect","Very badly",5,"a Remainer"
47,"Man","East Midlands","Conservative","Leave",8,"The Times","£30,000 to £34,999 per year","Not Asked or missing","17-18","CSE grade 1, GCE O level, GCSE, School Certificate","C1","Working full time (30 or more hours per week)","Private sector firm or company (e.g. limited companies and Plcs)","Manager or Senior Administrator / intermediate managerial / professional (e.g. company director, finance manager, person","Right","Somewhat positive effect","Neither positive nor negative","Fairly badly",5,"a Leaver"
68,"Man","Scotland","Labour","Remain",8,"The Independent","£25,000 to £29,999 per year","Not Asked or missing","17-18","University or CNAA first degree (e.g. BA, B.Sc, B.Ed)","C1","Retired","Other public sector employer (e.g. Central Government)","Foreman or Supervisor of Other Workers (e.g. building site foreman, supervisor of cleaning workers)","Right","Somewhat positive effect","Neither positive nor negative","Fairly well",7,"Neither a Leaver nor a Remainer"
69,"Man","London","Other","Leave",6,"None","£15,000 to £19,999 per year","Not Asked or missing","20+","Other technical, professional or higher qualification","A","Retired","Self-employed","Professional or higher technical work / higher managerial - work that requires at least degree-level qualifications (e.g","Right","Very positive effect","Somewhat positive effect","Very badly",10,"a Leaver"
40,"Man","East of England","Conservative","Remain",7,"The Guardian","under £5,000 per year","Not Asked or missing","20+","University or CNAA higher degree (e.g. M.Sc, Ph.D)","A","Unemployed","Nationalised industry or public corporation (e.g. Post Office)","Manager or Senior Administrator / intermediate managerial / professional (e.g. company director, finance manager, person","Don’t know","Neither positive nor negative","Neither positive nor negative","Fairly badly",4,"Neither a Leaver nor a Remainer"
